Year,Tariff regime,Type of product,Value
2015,PRF,AGR,3.82
2015,PRF,ALP,8.7
2015,PRF,CLO,19.55
2015,PRF,IND,8.58
2015,PRF,OIL,5.0
2015,PRF,TEX,3.81
2015,MFN,AGR,10.14
2015,MFN,ALP,3.76
2015,MFN,CLO,16.31
2015,MFN,IND,3.84
2015,MFN,OIL,0.0
2015,MFN,TEX,2.31
2016,PRF,AGR,3.06
2016,PRF,ALP,8.65
2016,PRF,CLO,19.53
2016,PRF,IND,8.78
2016,PRF,OIL,5.0
2016,PRF,TEX,3.76
2016,MFN,AGR,9.49
2016,MFN,ALP,3.93
2016,MFN,CLO,16.0
2016,MFN,IND,4.35
2016,MFN,OIL,0.0
2016,MFN,TEX,2.27
2017,PRF,AGR,4.18
2017,PRF,ALP,9.58
2017,PRF,CLO,19.71
2017,PRF,IND,9.68
2017,PRF,OIL,5.0
2017,PRF,TEX,4.1
2017,MFN,AGR,10.39
2017,MFN,ALP,3.68
2017,MFN,CLO,14.54
2017,MFN,IND,3.58
2017,MFN,OIL,0.0
2017,MFN,TEX,2.2
